Ranking 2026,Country,Total,Anti-Discrimination Legislation,Marriage / Civil Partnership,Adoption Allowed,Transgender Rights,Intersex / 3rd Option,Equal Age of Consent,Conversion Therapy,LGBT Marketing,Religious Influence,HIV Travel Restrictions,Anti-Gay Laws,Homosexuality Illegal,Pride Banned,Censorship,Locals Hostile,Prosecution,Murders,Death Sentences
183,Burkina Faso,-14,0,-1,-1,0,-1,0,-1,0,-2,0,-1,-1,-1,-2,-2,-1,0,0
183,Cameroon,-14,0,-1,0,-1,-1,0,-1,0,0,0,-1,-1,-1,-2,-2,-1,-2,0
183,Eritrea,-14,0,-1,0,-1,-1,0,-1,0,-2,0,-1,-1,-1,-2,-2,-1,0,0
183,Mali,-14,0,-1,-1,-1,-1,0,-1,0,-2,0,-1,-1,0,-1,-2,-1,-1,0
183,Morocco,-14,0,-1,0,-1,1,0,-1,0,-2,0,-1,-1,-1,-2,-2,-2,-1,0
183,Tunisia,-14,0,-1,-1,-1,-1,0,-1,0,-1,0,-1,-1,0,-1,-2,-2,-1,0
190,Brunei,-15,0,-1,0,-1,-1,0,-1,0,-2,-1,-1,-1,-1,-2,-2,0,0,-1
190,Indonesia/Aceh,-15,0,-1,0,-1,-1,0,-1,0,-2,0,-1,-1,0,-2,-2,-2,0,-1
190,Jordan,-15,0,-1,-1,0,-1,0,-1,0,-2,-1,-1,0,-1,-2,-2,-1,-1,0
190,Oman,-15,0,-1,0,-1,-1,0,-1,0,-2,-1,-1,-1,-1,-2,-2,-1,0,0
190,Syria,-15,0,-1,0,-1,-1,0,-1,0,-2,-1,-1,-1,0,0,-2,-2,-1,-1
195,Egypt,-16,0,-1,-1,-1,-1,0,-1,0,-2,-1,-1,-1,0,-1,-2,-2,-1,0
195,Kuwait,-16,0,-1,0,-1,-1,0,-1,0,-2,-1,-1,-1,-1,-2,-2,-2,0,0
195,Libya,-16,0,-1,0,-1,-1,0,-1,0,-2,0,-1,-1,-1,-1,-2,-1,-2,-1
195,Malaysia,-16,0,-1,0,-1,-1,0,-1,0,-2,-1,-1,-1,-1,-2,-2,-1,-1,0
195,Senegal,-16,0,-1,-1,-1,-1,0,-1,0,-2,0,-1,-1,-1,-1,-2,-2,-1,0
195,Sudan,-16,0,-1,0,-1,-1,0,-1,0,-2,-1,-1,-1,-1,-1,-2,-1,-2,0
195,Zimbabwe,-16,0,-1,0,-1,-1,0,-1,0,-2,0,-1,-1,-1,-2,-2,-2,-1,0
202,Nigeria,-17,0,-1,0,-1,-1,0,-1,0,-1,0,-1,-1,-1,-2,-2,-2,0,-3
202,Qatar,-17,0,-1,-1,-1,-1,0,-1,0,-2,-1,-1,-1,-1,-2,-2,-1,0,-1
202,Russia,-17,0,-1,0,0,-1,0,-1,0,-2,-1,-1,-1,-1,-2,-2,-2,-2,0
202,South Sudan,-17,0,-1,0,-1,-1,0,-1,0,-2,0,-1,-1,-1,-2,-2,-2,-2,0
202,Tanzania,-17,0,-1,-1,-1,-1,0,-1,0,-2,0,-1,-1,-1,-2,-2,-2,-1,0
202,Turkmenistan,-17,0,-1,0,-1,-1,0,-1,0,-2,-1,-1,-1,-1,-2,-2,-2,-1,0
208,Iraq,-18,0,-1,0,-1,-1,0,-1,0,-2,-1,-1,-1,-1,-2,-2,-2,-2,0
208,United Arab Emirates,-18,0,-1,0,-1,-1,0,-1,0,-2,-1,-1,-1,-1,-2,-2,-2,-1,-1
210,Uganda,-19,0,-1,0,-1,-1,0,-1,0,-2,0,-1,-1,-1,-2,-2,-2,-1,-3
211,Somalia,-21,0,-1,0,-1,-1,0,-1,0,-2,0,-1,-1,-1,-1,-2,-2,-2,-5
212,Afghanistan,-22,0,-1,0,-1,-1,0,-1,0,-2,0,-1,-1,-1,-2,-2,-2,-2,-5
212,Chechnya,-22,0,-1,0,-1,-1,0,-1,0,-2,0,-1,-1,-1,-2,-2,-2,-2,-5
212,Saudi Arabia,-22,0,-1,-1,0,-1,0,-1,0,-2,-1,-1,-1,-1,-2,-2,-2,-1,-5
215,Iran,-23,0,-1,-1,0,-1,0,-1,0,-2,-1,-1,-1,-1,-2,-2,-2,-2,-5
216,Yemen,-24,0,-1,-1,-1,-1,0,-1,0,-2,-1,-1,-1,-1,-2,-2,-2,-2,-5
